Days,Corn_NDVI_2013,Cotton_NDVI_2013,Soybean_NDVI_2013,Corn_NDVI_2014,Cotton_NDVI_2014,Soybean_NDVI_2014,Corn_MSAVI_2013,Cotton_MSAVI_2013,Soybean_MSAVI_2013,Corn_MSAVI_2014,Cotton_MSAVI_2014,Soybean_MSAVI_2014
188,0.756005117,0.807885837,0.461769355,0.768021478,0.836432155,0.386142744,0.860768238,0.892342254,0.601562355,0.868268456,0.909987689,0.536112488
189,0.752131274,0.814069837,0.474374766,0.762609451,0.839606084,0.401105479,0.858237679,0.896504486,0.613678266,0.864834116,0.911936162,0.551351152
190,0.743580224,0.81676854,0.485669387,0.757197424,0.842780013,0.416068214,0.852350847,0.898128224,0.623713386,0.861399775,0.913884634,0.566589815
191,0.735029174,0.819467243,0.496964009,0.751785397,0.845953942,0.431030949,0.846464014,0.899751963,0.633748506,0.857965434,0.915833106,0.581828478
192,0.726478123,0.822165946,0.50825863,0.74637337,0.84912787,0.445993683,0.840577181,0.901375701,0.643783627,0.854531094,0.917781579,0.597067142
193,0.717927073,0.824864649,0.519553251,0.737864929,0.850584351,0.460316751,0.834690349,0.902999439,0.653818747,0.847851085,0.91864096,0.609903446
194,0.709376023,0.827563353,0.530847872,0.729356489,0.852040831,0.474639819,0.828803516,0.904623178,0.663853868,0.841171077,0.919500341,0.622739749
195,0.700824972,0.830262056,0.542142494,0.720848049,0.853497312,0.488962886,0.822916684,0.906246916,0.673888988,0.834491069,0.920359721,0.635576053
196,0.692273922,0.832960759,0.553437115,0.712339609,0.854953792,0.503285954,0.817029851,0.907870655,0.683924109,0.82781106,0.921219102,0.648412357
197,0.678120785,0.832554321,0.562297015,0.703831169,0.856410273,0.517609022,0.805975717,0.907646464,0.691942781,0.821131052,0.922078483,0.66124866
198,0.663967648,0.832147883,0.571156915,0.695322729,0.857866753,0.531932089,0.794921583,0.907422273,0.699961453,0.814451044,0.922937864,0.674084964
199,0.649814511,0.831741445,0.580016815,0.686814288,0.859323234,0.546255157,0.783867449,0.907198082,0.707980125,0.807771035,0.923797245,0.686921268
200,0.635661374,0.831335007,0.588876716,0.671748003,0.858262461,0.554946274,0.772813315,0.906973892,0.715998797,0.794064447,0.923294145,0.693934632
